REVMAN_ID,REVIEW_TITLE,PERFBIAS_RISK,PERFBIAS_JUDGEMENT,YEAR
STD-Akhondzadeh-2008,Acetylcholinesterase inhibitors for schizophrenia,Low risk,Both the participants and investigators were blinded to the intervention. Identical appearing tablets were used[comma] effectiveness of this method was not mentioned.,2008
STD-Buchanan-2008,Acetylcholinesterase inhibitors for schizophrenia,Low risk,Both the participants and investigators were blinded to the intervention. Effectiveness of this method was not mentioned.,2008
STD-Caroff-2007,Acetylcholinesterase inhibitors for schizophrenia,Unclear Risk,No information available.,2007
STD-Chouinard-2007,Acetylcholinesterase inhibitors for schizophrenia,Low risk,Both the participants and investigators were blinded to the intervention. Effectiveness of this method was not mentioned.,2007
STD-Dyer-2008,Acetylcholinesterase inhibitors for schizophrenia,Unclear Risk,No information available.,2008
STD-Fagerlund-2007,Acetylcholinesterase inhibitors for schizophrenia,Low risk,Both the participants and investigators were blinded to the intervention. Effectiveness of this method was not mentioned.,2007
STD-Freudenreich-2005,Acetylcholinesterase inhibitors for schizophrenia,Low risk,Both the participants and investigators were blinded to the intervention. Identical appearing tablets were used[comma] effectiveness of this method was not mentioned.,2005
STD-Friedman-2002c,Acetylcholinesterase inhibitors for schizophrenia,Unclear Risk,Both the participants and investigators were blinded to the intervention. Effectiveness of this method was not mentioned.,2002
STD-Keefe-2008a,Acetylcholinesterase inhibitors for schizophrenia,Unclear Risk,Both the participants and investigators were blinded to the intervention. Effectiveness of this method was not mentioned.,2008
STD-Kim-2005b,Acetylcholinesterase inhibitors for schizophrenia,Low risk,Both the participants and investigators were blinded to the intervention. Effectiveness of this method was not mentioned.,2005
STD-Kohler-2007,Acetylcholinesterase inhibitors for schizophrenia,Low risk,Both the participants and investigators were blinded to the intervention. Effectiveness of this method was not mentioned.,2007
STD-Lee-2005,Acetylcholinesterase inhibitors for schizophrenia,Low risk,Both the participants and investigators were blinded to the intervention. Effectiveness of this method was not mentioned.,2005
STD-Nahas-2003,Acetylcholinesterase inhibitors for schizophrenia,Low risk,Both the participants and investigators were blinded to the intervention. Effectiveness of this method was not mentioned.,2003
STD-Schubert-2006,Acetylcholinesterase inhibitors for schizophrenia,Low risk,Both the participants and investigators were blinded to the intervention. Effectiveness of this method was not mentioned.,2006
